name,player_frequency
PQB,90
DQB,60
APB,51
RB,119
FB,13
WR,308
TE,124
OT,188
OG,188
OC,94
DT,179
WDE,153
SDE,153
ILB,132
OLB,174
CB,240
S,174
K,52
ATH,173
